,DAI-USDC 500 10,LINK-WETH 3000 60,UNI-WETH 3000 60,USDC-USDT 500 10,USDC-WETH 3000 60,USDC-WETH 500 10,WBTC-PAX 3000 60,WBTC-USDC 3000 60,WBTC-WETH 3000 60,WETH-USDT 3000 60
 $0.00 ,,1.192769433,,,,,,,,
 $0.00 ,,,0.598173776,,,,,,,
 $0.00 ,,,8.056488254,,,,,,,
 $0.00 ,,,8.60647023,,,,,,,
 $0.00 ,,,,,,0.399181147,,,,
 $0.00 ,,,,,,0.498727207,,,,
 $0.00 ,,,,,,,,,,0.598173776
 $0.00 ,,,,,,,,,,1.783808376
 $0.00 ,,,,,,,,,,4.742623755
 $0.00 ,,,,,,,,,,2.371311878
 $0.00 ,,,,,,,,,,2.955301088
 $0.00 ,,,,,,3.439289404,,,,
 $0.00 ,,,,,,4.495584136,,,,
 $0.00 ,,,,,,,,,,0.598173776
 $0.00 ,,,,,,,,,,2.955301088
 $0.00 ,,,,,,,,,,86.43802285
 $0.00 ,,,,,,0.399181147,,,,
 $0.00 ,,,,,,0.399181147,,,,
 $0.00 ,,,,,,0.399181147,,,,
 $0.00 ,,,,,,0.399181147,,,,
 $0.00 ,,,,,,0.399181147,,,,
 $0.00 ,,,,,,0.399181147,,,,
 $0.00 ,,,64.36879558,,,,,,,
 $0.00 ,,,11.83795994,,,,,,,
 $0.00 ,,,93.7828657,,,,,,,
 $0.00 ,,,100,,,,,,,
 $0.00 ,,,,,8.60647023,,,,,
 $0.00 ,,,,,8.60647023,,,,,
 $0.00 ,,,,,,,,,,5.25653356
 $0.00 ,,,,,8.60647023,,,,,
 $0.00 ,,,,,8.056488254,,,,,
 $0.00 ,,,,,,,,,,8.60647023
 $0.00 ,,,,,8.60647023,,,,,
 $0.00 ,,,,,8.60647023,,,,,
 $0.00 ,,,,,8.056488254,,,,,
 $0.00 ,,,,,,,,,,1.783808376
 $0.00 ,,,,,,,,,,1.783808376
 $0.00 ,,,,,,0.798362294,,,,
 $0.00 ,,,,,8.60647023,,,,,
 $0.00 ,,,,,8.60647023,,,,,
 $0.00 ,,,,,,1.192769433,,,,
 $0.00 ,,,,,,1.192769433,,,,
 $0.00 ,,,,,,1.192769433,,,,
 $0.00 ,,,,,45.11719004,,,,,
 $0.00 ,,,,,,,,,,2.955301088
 $0.00 ,,,,,,,,,,2.955301088
